label,B,P,O,D,H,E,I,total_latency_s,total_energy_j,AV_latency_s,AV_power_w,AV_energy_j,Down-proj_latency_s,Down-proj_power_w,Down-proj_energy_j,FFN-1_latency_s,FFN-1_power_w,FFN-1_energy_j,K-proj_latency_s,K-proj_power_w,K-proj_energy_j,Output-proj_latency_s,Output-proj_power_w,Output-proj_energy_j,Q-proj_latency_s,Q-proj_power_w,Q-proj_energy_j,QKT_latency_s,QKT_power_w,QKT_energy_j,Softmax_latency_s,Softmax_power_w,Softmax_energy_j,V-proj_latency_s,V-proj_power_w,V-proj_energy_j
batch_1_seq_1024,1,1024,9216,9216,72,128,36864,0.02606052747059324,1.3568979215621948,0.0012472867965698242,55.45,0.06916205286979675,0.004340648651123047,83.84,0.36391998291015626,0.004340648651123047,83.84,0.36391998291015626,0.0012532472610473633,38.31,0.04801190257072449,0.0044449567794799805,83.02,0.36902031183242795,0.0012443065643310547,38.25,0.04759472608566284,0.00029021217709495906,245.07,0.07112229824066162,0.00021636486053466797,43.78,0.009472453594207763,0.00038313865661621094,38.3,0.014674210548400879
batch_1_seq_2048,1,2048,9216,9216,72,128,36864,0.05657244520967216,6.59318275895612,0.002436995506286621,168.65,0.41099929213523867,0.008634448051452637,194.79,1.6819041359424591,0.008634448051452637,194.79,1.6819041359424591,0.0024368762969970703,167.71,0.4086885237693787,0.008846759796142578,209.15,1.8502998113632203,0.0024368762969970703,63.34,0.15435174465179444,0.0012660643150066507,243.15,0.3078435381938671,0.0006556510925292969,68.0,0.04458427429199219,0.0013604164123535156,38.67,0.052607302665710454
batch_1_seq_256,1,256,9216,9216,72,128,36864,0.003902491350501614,0.571787386197078,0.0003485679626464844,38.35,0.013367581367492677,0.0011156797409057617,201.91,0.22526689648628234,0.0011156797409057617,201.91,0.22526689648628234,0.0003458261489868164,37.99,0.013137935400009156,0.0012526512145996094,52.91,0.06627777576446532,0.00034821033477783203,51.44,0.01791193962097168,3.0692835181789846e-05,170.52,0.005233742255198805,5.91278076171875e-05,43.0,0.0025424957275390625,7.319450378417969e-05,38.01,0.00278212308883667
batch_1_seq_512,1,512,9216,9216,72,128,36864,0.011401900414653068,0.7406872017531874,0.0006383657455444336,38.44,0.024538779258728025,0.002187371253967285,38.3,0.08377631902694702,0.002187371253967285,38.3,0.08377631902694702,0.0006376504898071289,46.97,0.029950443506240845,0.0024374723434448242,187.91,0.4580254280567169,0.000628352165222168,38.12,0.02395278453826904,8.614097485702003e-05,236.91,0.020407658353376615,0.000110626220703125,73.54,0.008135452270507814,0.00013589859008789062,59.78,0.008124017715454101
batch_2_seq_1024,2,1024,9216,9216,72,128,36864,0.10262471105366625,5.5711590533545525,0.002438068389892578,161.65,0.3941137552261353,0.00652766227722168,227.51,1.4851084446907044,0.00652766227722168,227.51,1.4851084446907044,0.002437114715576172,144.8,0.3528942108154297,0.006510615348815918,232.31,1.512481051683426,0.0024362802505493164,62.01,0.1510737383365631,0.0005579897851654978,243.44,0.13583703330068878,0.0003528594970703125,73.64,0.025984573364257812,0.0007146596908569336,39.96,0.028557801246643068
batch_2_seq_2048,2,2048,9216,9216,72,128,36864,0.15186145370910242,10.99854584201177,0.003725409507751465,191.94,0.7150551009178161,0.01320338249206543,224.83,2.9685164856910706,0.01320338249206543,224.83,2.9685164856910706,0.0044460296630859375,185.75,0.8258500099182129,0.012965559959411621,154.13,1.998381756544113,0.004128217697143555,185.3,0.7649587392807007,0.0024932305018107097,236.93,0.5907211027940115,0.001168370246887207,44.5,0.05199247598648071,0.002662181854248047,43.03,0.11455368518829347
batch_2_seq_256,2,256,9216,9216,72,128,36864,0.06396237244469694,0.46721924268351744,0.0006372928619384766,48.16,0.03069202423095703,0.0021854639053344727,38.51,0.08416221499443054,0.0021854639053344727,38.51,0.08416221499443054,0.0006287097930908203,56.47,0.03550324201583862,0.0024377107620239258,76.79,0.18719180941581728,0.0006353855133056641,38.49,0.02445598840713501,5.3906765359252377e-05,233.16,0.012568901411163284,8.487701416015625e-05,44.37,0.0037659931182861327,8.893013000488281e-05,53.04,0.004716854095458984
batch_2_seq_512,2,512,9216,9216,72,128,36864,0.0782100814064402,1.8182486178494301,0.0012335777282714844,43.81,0.05404304027557373,0.004339694976806641,85.64,0.3716514778137207,0.004339694976806641,85.64,0.3716514778137207,0.001234292984008789,57.33,0.07076201677322387,0.004451155662536621,189.77,0.8446958100795746,0.0012359619140625,38.36,0.0474114990234375,0.0001526409838379932,239.8,0.03660330792435077,0.0001385211944580078,67.41,0.009337713718414306,0.0002161264419555664,55.95,0.012092274427413941
batch_4_seq_1024,4,1024,9216,9216,72,128,36864,0.23652410424530124,11.112623493811663,0.004445791244506836,184.54,0.8204263162612915,0.01316070556640625,213.52,2.8100738525390625,0.01316070556640625,213.52,2.8100738525390625,0.004445314407348633,186.54,0.8292289495468139,0.01296377182006836,201.37,2.6105147314071657,0.004446268081665039,184.04,0.8182911777496338,0.0010810354176689597,245.3,0.26517798795419584,0.000630497932434082,43.5,0.02742666006088257,0.001361250877380371,89.19,0.1214099657535553
batch_4_seq_2048,4,2048,9216,9216,72,128,36864,0.33275855994999026,24.263186478316786,0.00884866714477539,183.75,1.625942587852478,0.02661597728729248,218.8,5.823575830459595,0.02661597728729248,218.8,5.823575830459595,0.006530880928039551,195.46,1.2765259861946106,0.025889158248901367,240.97,6.238510463237763,0.006987452507019043,149.82,1.0468601346015929,0.004953637719154358,249.66,1.236725192964077,0.0022742748260498047,156.03,0.354855101108551,0.005281329154968262,158.41,0.8366153514385223
